,Crime,Thriller,Fantasy,Horror,Sci-Fi,Comedy,Documentary,Adventure,Film-Noir,Animation,Romance,Drama,Western,Musical,Action,Mystery,War,Children's,total
121,2,11,5,16,51,18,0,24,1,5,4,9,1,2,35,1,5,6,196
122,9,17,2,2,18,8,0,19,0,1,6,13,1,1,52,0,7,0,156
123,61,146,6,40,47,190,0,60,14,6,71,255,26,4,140,29,41,15,1151
124,3,6,0,0,1,3,0,1,1,0,2,18,0,0,5,0,2,2,44
125,12,21,1,3,13,10,0,13,1,0,7,21,4,0,54,1,11,0,172
126,5,4,1,0,3,15,0,5,2,0,25,27,0,2,17,2,3,0,111
127,19,68,5,9,41,32,1,38,3,4,22,68,3,0,67,8,20,6,414
128,0,2,1,2,4,9,0,3,0,3,3,5,1,4,5,0,3,3,48
129,60,55,2,6,27,37,0,39,7,3,14,50,3,1,87,9,6,2,408
130,15,35,3,11,35,19,0,34,1,2,14,28,6,3,110,2,20,1,339
131,22,49,6,13,28,90,10,21,7,13,47,155,2,11,36,10,24,11,555
132,4,1,4,4,3,87,0,9,0,4,13,18,1,4,9,1,0,11,173
133,12,46,4,13,9,48,0,7,1,1,32,92,2,3,21,9,9,4,313
134,17,58,6,5,61,55,0,45,0,5,19,34,4,5,127,5,10,8,464
135,3,15,0,7,9,34,0,7,2,7,8,17,1,2,12,4,1,6,135
136,15,43,20,31,51,159,11,37,7,29,58,125,8,45,42,16,18,50,765
137,23,52,5,16,34,52,0,33,4,5,56,69,7,8,62,17,17,8,468
138,37,17,1,1,6,9,0,5,8,3,7,34,0,0,19,5,4,1,157
139,12,24,16,37,54,78,8,54,5,35,15,54,4,28,73,6,22,41,566
140,5,11,1,2,3,14,1,7,7,2,9,20,0,3,11,7,6,2,111
141,2,4,0,0,3,4,0,2,3,1,3,9,1,0,4,8,2,1,47
142,4,9,3,0,7,12,1,5,1,7,5,20,1,5,9,1,3,9,102
143,0,18,0,1,4,29,0,10,0,2,20,25,0,0,29,2,6,1,147
144,5,8,0,1,9,8,1,1,0,1,3,13,1,1,9,5,4,2,72
145,3,4,1,2,6,17,0,4,0,1,3,18,0,1,5,2,0,3,70
146,30,63,15,20,42,144,0,45,22,30,105,162,3,53,64,20,22,43,883
147,24,56,13,4,32,40,1,43,1,6,30,65,4,3,110,8,26,11,477
148,31,123,35,28,119,180,2,124,3,24,104,193,13,29,255,22,53,69,1407
149,83,153,11,18,61,165,21,56,11,9,77,256,3,9,183,24,42,11,1193
150,12,25,7,14,16,80,3,15,4,9,36,128,6,8,24,9,17,12,425
151,31,75,21,13,95,232,0,54,3,4,171,174,3,11,100,7,23,15,1032
152,1,3,0,3,0,20,0,3,0,2,3,7,0,0,3,0,0,2,47
153,1,4,1,3,1,18,0,2,0,2,2,5,0,1,0,0,0,3,43
154,4,8,0,5,4,15,0,4,1,5,2,16,0,3,8,0,2,5,82
155,6,5,3,1,8,74,0,9,0,1,13,30,1,3,10,1,7,6,178
156,7,28,1,2,2,66,0,10,2,3,82,56,1,4,15,18,12,5,314
157,27,67,12,12,82,195,2,79,14,12,59,148,10,13,129,13,44,17,935
158,2,4,0,2,0,4,0,2,5,1,3,10,0,1,3,2,3,2,44
159,1,4,0,2,2,21,0,3,1,5,7,9,0,0,8,0,3,4,70
160,1,4,2,2,7,2,0,5,0,1,2,9,0,1,7,1,1,2,47
161,21,33,4,8,19,81,13,16,5,7,43,175,8,7,24,12,32,7,515
162,15,30,0,5,11,39,0,20,1,11,23,24,0,7,52,2,5,10,255
163,46,131,19,76,66,161,1,67,3,19,110,136,8,5,203,15,23,24,1113
164,1,2,2,0,1,6,0,1,0,1,8,14,1,2,2,2,5,2,50
165,6,24,4,23,46,33,1,16,2,2,1,18,2,4,30,6,10,4,232
166,22,95,19,40,70,137,4,60,6,17,58,139,2,17,80,27,18,40,851
167,2,9,0,1,2,22,0,8,0,1,12,27,2,0,15,2,4,1,108
168,3,3,2,2,6,12,0,5,0,3,0,9,0,4,9,0,3,4,65
169,44,91,18,29,65,204,7,69,10,18,67,200,13,24,145,19,39,31,1093
170,8,24,2,9,31,12,0,12,3,1,4,33,4,2,40,2,15,2,204
171,4,4,1,0,1,4,9,2,3,0,1,9,0,0,4,2,3,1,48
172,3,6,0,0,2,4,3,2,13,1,2,6,0,0,1,3,2,0,48
173,67,111,7,23,47,121,28,56,30,12,67,275,14,17,88,34,42,13,1052
174,8,28,3,6,29,12,0,29,0,1,9,20,3,1,88,1,11,3,252
175,24,28,8,17,22,119,8,29,5,16,53,166,2,26,29,11,14,29,606
176,2,3,5,4,8,73,0,11,2,2,11,9,1,5,10,2,1,2,151
177,0,11,5,1,24,8,1,18,2,2,5,11,1,0,18,2,4,2,115
178,3,5,10,0,16,46,0,26,2,15,24,22,8,34,21,3,5,25,265
179,6,22,6,6,75,27,0,30,1,1,7,42,1,2,44,1,8,4,283
180,8,9,0,1,1,19,1,2,3,1,4,43,0,0,4,2,3,2,103
181,41,51,10,15,41,141,1,50,3,7,32,93,10,6,120,5,24,12,662
182,9,11,1,1,5,53,1,3,0,4,11,28,1,0,14,1,6,4,153
183,8,23,1,6,13,32,0,4,15,4,12,41,1,4,12,15,7,4,202
184,5,9,8,0,10,22,0,15,1,24,8,26,1,17,22,2,4,39,213
185,3,20,1,2,13,8,0,20,0,0,5,13,1,0,47,0,8,0,141
186,7,21,4,11,21,39,1,12,1,38,13,24,2,17,28,2,7,36,284
187,33,40,2,8,9,124,17,9,2,9,77,292,3,12,31,13,11,17,709
188,5,20,1,7,20,13,0,7,2,1,3,19,3,0,30,2,5,0,138
189,1,7,3,2,3,6,0,3,0,0,4,17,2,0,9,1,5,1,64
190,20,28,4,21,17,51,0,17,5,9,11,56,3,13,34,4,9,10,312
191,1,4,2,0,2,16,0,2,0,0,0,10,0,0,4,1,0,0,42
192,45,135,22,20,93,150,1,84,5,22,79,179,11,18,199,24,28,51,1166
193,15,36,4,6,21,97,4,27,11,13,39,101,1,17,24,14,17,13,460
194,1,1,3,0,2,49,0,4,0,3,16,10,1,2,5,0,3,10,110
195,53,134,37,88,144,256,8,131,12,31,81,305,10,21,191,33,45,68,1648
196,8,19,0,0,2,8,0,0,3,1,2,13,0,0,3,5,2,1,67
197,0,3,0,0,2,9,0,3,0,0,3,16,0,0,4,0,2,0,42
198,30,62,19,16,73,158,1,82,1,30,32,85,10,26,152,11,24,54,866
199,22,74,10,16,87,108,0,63,1,2,102,192,5,7,158,9,46,13,915
200,2,5,0,0,3,16,0,5,0,2,4,3,0,0,5,0,0,4,49
201,4,9,0,0,0,51,2,3,0,0,26,44,0,0,5,1,3,0,148
202,64,122,19,82,74,278,0,71,4,25,112,209,15,28,191,20,36,40,1390
203,13,9,1,3,5,21,0,2,0,0,24,119,1,0,10,1,7,3,219
204,33,87,23,15,79,140,1,96,2,21,59,164,21,15,163,10,28,53,1010
205,17,42,1,6,23,70,3,29,8,5,17,40,6,5,34,9,12,4,331
206,0,7,1,5,17,7,0,8,0,2,4,8,0,3,11,2,2,1,78
207,0,6,1,3,6,8,0,6,0,1,3,5,1,0,8,0,2,2,52
208,13,62,4,29,33,41,5,22,7,3,31,67,6,4,44,11,16,3,401
209,0,3,0,1,3,15,0,1,0,2,4,7,0,0,3,0,1,4,44
210,12,49,3,6,19,16,0,31,0,1,13,22,2,0,106,4,8,7,299
211,1,12,2,9,8,2,0,4,0,0,2,11,0,0,10,2,1,3,67
212,12,30,4,2,7,55,4,12,0,0,14,39,0,1,35,2,3,2,222
213,0,1,2,0,3,16,0,3,0,4,8,7,0,1,5,0,3,5,58
214,19,20,4,5,10,133,0,14,8,14,20,37,2,9,22,6,5,14,342
215,1,7,4,1,19,6,0,14,1,2,5,7,0,0,17,2,4,2,92
216,39,75,16,34,67,440,7,68,7,20,120,267,25,35,104,18,49,68,1459
217,3,5,1,0,5,7,0,5,1,1,4,4,0,0,7,2,3,1,49
218,2,18,2,6,14,35,0,10,2,4,9,27,1,2,17,2,4,2,157
219,1,8,0,2,3,18,0,3,0,0,2,9,1,2,7,2,3,0,61
220,12,21,2,2,9,44,1,10,3,3,9,40,0,1,18,20,5,4,204
221,4,15,0,5,2,4,0,1,2,0,5,12,0,0,4,17,0,0,71
222,5,13,19,4,25,23,3,24,3,2,10,22,6,1,31,2,8,10,211
223,11,35,18,8,30,118,0,59,1,11,61,76,5,7,80,8,13,26,567
224,14,28,8,3,23,93,0,15,1,5,39,108,2,7,30,5,17,9,407
225,77,88,8,20,32,156,16,30,7,9,62,272,4,8,79,23,21,11,923
226,1,3,1,1,2,8,0,1,0,0,2,10,1,1,8,0,3,2,44
227,1,7,1,3,6,8,1,3,0,0,3,7,0,2,6,0,1,0,49
228,2,10,0,3,8,6,0,4,0,2,2,10,0,1,11,0,2,2,63
229,14,30,15,8,43,52,0,21,0,5,24,139,1,9,43,5,15,15,439
230,10,29,4,9,35,58,3,21,2,4,23,82,2,5,38,7,17,7,356
231,10,25,5,18,26,36,0,18,3,7,7,20,2,4,33,3,5,7,229
232,4,8,0,3,8,77,0,6,0,7,8,20,0,1,10,1,4,8,165
233,0,0,0,0,1,15,0,8,0,10,24,21,1,21,6,0,7,14,128
234,2,1,0,1,2,3,0,3,1,0,2,20,0,1,6,1,8,0,51
235,37,60,21,19,56,151,27,48,15,17,44,174,7,31,62,20,27,24,840
236,4,16,3,5,18,15,0,10,3,4,7,27,2,1,28,0,8,4,155
237,10,16,4,4,18,100,0,23,0,6,36,40,5,3,41,3,10,14,333
238,19,19,5,1,10,28,1,7,1,0,31,254,3,4,17,8,24,5,437
239,4,4,2,0,6,26,0,6,1,6,28,41,0,2,13,0,15,3,157
240,17,32,7,16,48,37,1,36,2,4,14,39,2,1,65,5,23,6,355
241,8,21,2,3,32,9,0,10,4,1,3,16,0,0,32,4,7,1,153
242,21,48,8,9,58,116,1,48,3,8,25,70,4,10,107,13,20,9,578
243,2,2,1,1,1,31,0,2,0,1,7,10,0,0,1,0,1,1,61
244,9,18,5,3,16,37,0,10,2,2,34,26,0,1,20,3,5,3,194
245,47,130,31,120,160,236,1,143,13,13,64,206,33,23,247,36,64,43,1610
246,0,0,2,1,2,26,0,4,0,8,4,7,0,3,3,0,2,11,73
247,1,2,1,0,1,2,0,1,0,0,2,29,1,1,4,2,5,2,54
248,1,14,1,4,12,4,0,10,0,0,5,7,0,0,26,1,6,0,91
249,15,22,4,3,14,48,0,15,2,1,24,29,0,4,34,4,4,2,225
250,3,6,1,2,5,6,0,5,0,0,2,5,0,0,8,1,1,1,46
251,2,19,1,4,18,30,0,12,1,1,8,22,9,3,32,0,7,2,171
252,7,24,0,4,17,19,0,11,0,1,7,8,1,0,45,0,6,1,151
253,5,7,1,0,2,11,3,2,1,1,5,34,1,1,8,2,2,2,88
254,1,3,2,15,5,4,0,3,0,0,0,2,0,0,7,0,1,1,44
255,17,58,13,20,71,62,1,44,2,5,14,73,14,0,88,7,25,11,525
256,16,36,3,0,19,6,0,21,10,0,9,29,2,0,82,8,12,0,253
257,3,23,2,2,12,15,0,7,0,1,9,19,2,0,15,3,8,3,124
258,13,49,2,1,20,37,2,19,2,2,20,70,0,0,48,8,10,6,309
259,21,32,2,7,12,42,2,7,3,4,19,75,3,1,30,10,10,1,281
260,11,49,8,9,43,35,0,59,0,2,17,18,1,1,149,5,14,5,426
261,49,68,10,17,39,115,2,40,10,9,47,148,8,10,93,19,17,20,721
262,4,17,34,10,77,19,0,44,0,7,7,11,1,2,57,2,5,21,318
263,5,13,5,4,31,47,0,34,0,3,20,25,0,4,35,2,4,6,238
264,26,70,28,26,86,186,0,97,6,26,78,119,17,30,157,11,44,59,1066
265,4,5,0,1,5,41,0,10,0,17,30,36,0,39,8,0,12,15,223
266,2,10,2,0,3,18,0,6,1,2,10,23,1,4,8,4,5,3,102
267,9,24,3,2,5,48,2,8,1,3,27,66,1,0,29,4,11,6,249
268,10,38,10,7,20,129,0,32,1,13,70,96,4,8,57,4,12,18,529
269,3,5,0,2,2,11,0,2,1,0,3,11,0,2,7,3,2,2,56
270,13,31,3,5,11,26,0,31,13,2,12,53,2,4,40,10,18,4,278
271,14,39,32,13,53,145,0,80,2,47,35,59,4,26,96,3,13,70,731
272,86,121,23,33,72,175,0,104,4,18,48,142,7,11,176,16,39,30,1105
273,18,37,13,10,34,74,0,41,3,10,28,44,5,11,71,7,10,21,437
274,12,26,5,8,20,36,0,12,10,6,17,87,4,4,31,8,8,5,299
275,8,15,2,4,18,32,0,17,3,2,10,46,0,1,24,2,7,2,193
276,4,3,1,4,2,6,0,3,1,1,2,8,1,2,4,1,2,2,47
277,1,6,1,0,8,8,0,8,0,0,10,7,0,0,9,0,2,0,60
278,7,32,0,193,47,28,0,7,0,1,5,7,0,2,23,3,1,0,356
279,0,3,0,0,5,9,2,3,1,0,9,26,1,0,23,0,43,1,126
280,3,4,1,1,1,45,0,0,0,1,7,17,2,3,3,3,3,2,96
281,8,18,1,3,8,30,5,3,2,5,17,70,0,4,11,3,6,5,199
282,1,25,0,3,3,1,0,4,1,0,3,8,0,0,15,2,0,0,66
283,2,6,3,4,7,5,0,7,0,2,4,10,0,0,13,1,4,3,71
284,26,80,30,73,106,166,1,95,3,45,40,80,13,30,142,13,32,87,1062
285,25,28,0,5,5,28,21,3,4,0,12,86,0,2,7,10,8,2,246
286,7,12,2,0,4,16,0,4,1,1,13,20,0,0,10,4,6,2,102
287,7,8,1,2,4,24,0,3,3,1,14,79,0,1,12,1,10,1,171
288,5,18,1,1,18,10,0,20,0,0,8,12,0,1,50,0,7,1,152
289,17,39,3,6,14,10,0,10,2,2,3,22,4,0,40,4,8,0,184
290,4,8,1,0,2,15,0,1,0,0,21,19,0,0,3,0,4,1,79
291,3,3,2,0,4,21,0,9,1,1,42,79,2,9,10,0,17,6,209
292,3,11,2,2,23,8,0,9,1,0,3,16,0,0,20,2,5,0,105
293,18,29,5,40,14,104,7,8,3,5,37,179,3,3,33,7,22,10,527
294,1,2,0,1,1,39,6,2,0,2,9,15,0,1,2,1,0,3,85
295,22,66,1,23,34,48,0,24,8,8,15,58,3,3,77,6,11,4,411
296,0,16,1,42,26,27,0,11,0,10,8,8,0,19,18,2,3,12,203
297,12,15,1,1,9,37,0,7,5,1,6,40,1,2,31,2,8,2,180
298,0,3,1,3,4,9,0,5,0,4,2,6,1,4,6,1,2,7,58
299,7,9,3,2,5,35,9,7,4,5,11,53,3,3,18,6,7,9,196
300,24,57,5,6,26,85,0,37,7,8,34,100,3,3,88,10,22,17,532
301,43,63,12,17,34,175,4,46,2,24,51,121,7,13,70,11,21,30,744
302,61,171,21,68,131,369,2,102,4,21,93,175,13,26,226,33,31,59,1606
303,23,31,1,2,9,89,10,3,1,5,44,116,0,2,30,4,13,3,386
304,13,10,0,2,1,1,0,1,23,2,0,5,0,0,0,7,0,0,65
305,1,24,2,117,22,34,2,11,0,12,9,9,0,37,15,3,0,15,313
306,20,51,6,8,18,93,0,27,1,6,24,53,5,1,63,6,8,8,398
307,15,26,0,9,8,44,3,9,14,10,24,91,4,15,16,10,24,10,332
308,60,96,17,33,69,207,7,62,10,22,62,192,9,33,143,21,34,48,1125
309,13,38,4,4,37,32,0,17,3,4,12,46,4,0,44,5,11,6,280
310,5,21,11,8,16,112,1,25,0,26,75,71,1,17,27,1,8,67,492
311,1,4,1,0,6,2,0,9,0,0,2,8,0,0,12,1,3,0,49
312,7,5,2,0,3,12,1,4,0,0,8,44,0,2,4,1,8,2,103
313,3,5,0,2,5,8,0,4,1,2,1,7,0,3,9,2,1,3,56
314,12,47,6,12,17,78,4,15,9,12,45,159,8,20,25,17,23,21,530
315,0,8,0,0,4,4,0,4,0,1,1,8,0,0,7,10,3,1,51
316,1,20,8,8,70,6,0,26,1,0,2,11,1,0,45,4,9,5,217
317,1,2,2,0,5,8,0,2,1,1,2,11,0,1,4,2,3,2,47
318,0,3,0,1,1,7,0,3,1,3,3,10,1,0,3,1,1,4,42
319,57,154,6,22,42,265,9,43,13,8,131,358,10,9,94,36,37,17,1311
320,0,5,0,1,2,4,0,3,0,3,4,9,1,2,8,0,5,3,50
321,20,79,16,54,57,44,0,48,2,5,20,59,2,7,86,17,10,17,543
322,0,1,1,1,2,17,0,7,0,0,15,22,8,1,10,0,9,0,94
323,11,31,6,5,21,46,0,12,6,4,22,42,3,4,23,16,10,5,267
324,3,34,3,3,8,15,0,13,1,9,15,13,0,24,25,4,5,11,186
325,3,3,0,0,0,37,0,1,0,2,14,10,0,0,4,0,2,3,79
326,25,58,11,20,52,148,1,45,6,9,70,155,7,18,73,15,26,14,753
327,24,26,2,8,10,46,13,13,13,5,30,133,5,13,20,13,25,9,408
328,6,26,2,4,18,9,0,18,0,1,7,12,2,0,56,2,6,1,170
329,44,130,35,47,136,378,2,121,9,29,116,196,7,37,155,29,30,71,1572
330,5,16,3,1,10,16,0,6,3,4,2,33,4,2,18,5,11,6,145
331,71,164,6,16,43,173,1,35,8,2,119,304,7,9,111,34,24,4,1131
332,9,14,0,0,3,19,0,2,2,1,17,43,2,0,11,2,5,1,131
333,8,8,5,5,9,120,1,17,1,18,39,103,3,50,9,5,10,28,439
334,3,6,1,1,0,18,0,3,0,0,41,40,0,7,7,1,7,1,136
335,14,24,10,7,35,34,1,91,4,1,11,40,6,0,76,3,11,1,369
336,5,31,7,12,97,17,0,33,2,1,6,13,1,1,53,1,6,10,296
337,15,62,10,50,76,43,0,56,2,13,18,30,3,2,94,9,11,13,507
338,27,83,13,14,60,126,2,63,4,7,76,106,11,5,140,13,23,13,786
339,7,6,0,0,3,14,0,4,0,0,24,123,1,1,10,4,15,0,212
340,5,14,5,10,10,40,0,15,4,14,12,30,0,13,18,9,8,18,225
341,3,4,0,1,6,3,0,4,0,0,3,7,0,1,13,1,2,0,48
342,4,21,8,4,50,56,0,34,1,4,14,26,6,4,50,3,7,11,303
343,10,51,15,23,91,114,0,64,4,20,49,59,10,23,85,9,11,34,672
344,2,7,3,3,23,20,1,22,2,4,6,22,3,0,52,1,42,4,217
345,3,2,0,0,1,3,0,1,0,0,5,24,0,0,3,0,2,1,45
